video,frameRateFps,frameCount,durationSeconds,platformDiameterCm,targetHole,primaryLatencySeconds,totalLatencySeconds,primaryErrors,totalErrors,pathLengthCm,averageSpeedCmPerSecond,quadrant1TargetSeconds,quadrant2Seconds,quadrant3OppositeSeconds,quadrant4Seconds,searchStrategy,searchStrategyReasoning,investigationRadiusFactor,investigationMinFrames,toolVersion
test50.mp4,30,5539,185.067,92,,,,20,20,2882.668519,16.01185994,,,,,,,1.5,3,barnes-maze-pipeline 0.1.0
test51.mp4,14.985 (15000/1001),741,49.383,92,20,35.56886667,36.10273333,4,4,400.8665264,11.12405723,19.019,0,9.275933333,21.08773333,random,"Neither direct nor ordered: 11% path efficiency, 6 hole visits with no consistent order, crossing the centre 1 time before the target.",1.5,3,barnes-maze-pipeline 0.1.0
test53.mp4,30,905,30.233,92,3,9,26.1,1,3,223.5663073,10.61232472,25.23333333,0,0,0,random,"Neither direct nor ordered: 54% path efficiency, 2 hole visits with no consistent order, crossing the centre 0 times before the target.",1.5,3,barnes-maze-pipeline 0.1.0
